payload,vpa,known_psp_suffix,entropy,digit_ratio,local_part_len,has_amount,amount,has_suspicious_keyword,label
upi://pay?pa=refund48@refund-upi&pn=Refund%20Team&cu=INR&tn=cashback,refund48@refund-upi,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=7676329121@upi&pn=Auto%20Rickshaw%20Stand&cu=INR,7676329121@upi,1,2.522,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.6497@okaxis&pn=Priya%20Singh&cu=INR&am=2361.27,merchant.6497@okaxis,1,3.7,0.308,13,1,2361.27,0,0
upi://pay?pa=7431363517@hdfcbank&pn=Cashback%20Desk&cu=INR&tn=urgent,7431363517@hdfcbank,1,2.446,1.0,10,0,0.0,1,1
upi://pay?pa=phcnpe104@hdfcbank&pn=Cashback%20Desk&cu=INR&tn=urgent,phcnpe104@hdfcbank,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=9837193818@okicici&pn=Prize%20Center&cu=INR&am=2.46&tn=suspend,9837193818@okicici,1,2.246,1.0,10,1,2.46,1,1
upi://pay?pa=m1kbw6giokoqs8@oksbi&pn=Verify%20Account&cu=INR&tn=reward,m1kbw6giokoqs8@oksbi,1,3.522,0.214,14,0,0.0,1,1
upi://pay?pa=3719547538@idfcbank&pn=Refund%20Team&cu=INR&tn=winner,3719547538@idfcbank,1,2.722,1.0,10,0,0.0,1,1
upi://pay?pa=goog1e-pay525@ybl&pn=Cashback%20Desk&cu=INR&tn=blocked,goog1e-pay525@ybl,1,3.239,0.308,13,0,0.0,1,1
upi://pay?pa=6120890371@okaxis&pn=Green%20Grocers&cu=INR,6120890371@okaxis,1,2.922,1.0,10,0,0.0,0,0
upi://pay?pa=8644397474@oksbi&pn=Auto%20Rickshaw%20Stand&cu=INR,8644397474@oksbi,1,2.322,1.0,10,0,0.0,0,0
upi://pay?pa=goog1e-pay814@okicici&pn=KYC%20Support&cu=INR&am=3.67&tn=winner,goog1e-pay814@okicici,1,3.239,0.308,13,1,3.67,1,1
upi://pay?pa=goog1e-pay96@okhdfcbank&pn=Refund%20Team&cu=INR&tn=kyc,goog1e-pay96@okhdfcbank,1,3.252,0.25,12,0,0.0,1,1
upi://pay?pa=6236701348@axl&pn=Prize%20Center&cu=INR&am=2.84&tn=kyc,6236701348@axl,1,2.922,1.0,10,1,2.84,1,1
upi://pay?pa=merchant.3288@okhdfcbank&pn=City%20Cafe&cu=INR,merchant.3288@okhdfcbank,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=8901796894@paytm&pn=City%20Cafe&cu=INR&am=2565.65,8901796894@paytm,1,2.646,1.0,10,1,2565.65,0,0
upi://pay?pa=merchant.5243@idfcbank&pn=Priya%20Singh&cu=INR,merchant.5243@idfcbank,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=goog1e-pay542@idfcbank&pn=Prize%20Center&cu=INR&tn=urgent,goog1e-pay542@idfcbank,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=isuvyk28f7k@hdfcbank&pn=KYC%20Support&cu=INR&am=2.43&tn=urgent,isuvyk28f7k@hdfcbank,1,3.278,0.273,11,1,2.43,1,1
upi://pay?pa=8689293124@upi&pn=Prize%20Center&cu=INR&tn=cashback,8689293124@upi,1,2.722,1.0,10,0,0.0,1,1
upi://pay?pa=6872987473@hdfcbank&pn=Verify%20Account&cu=INR&am=2.69&tn=blocked,6872987473@hdfcbank,1,2.646,1.0,10,1,2.69,1,1
upi://pay?pa=cashback10@xn--upi&pn=Verify%20Account&cu=INR&tn=blocked,cashback10@xn--upi,0,2.922,0.2,10,0,0.0,1,1
upi://pay?pa=merchant.5109@idfcbank&pn=Auto%20Rickshaw%20Stand&cu=INR,merchant.5109@idfcbank,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=4449721359@apl&pn=Verify%20Account&cu=INR&tn=reward,4449721359@apl,1,2.646,1.0,10,0,0.0,1,1
upi://pay?pa=aardqv9k6l7j4v9@oksbi&pn=Cashback%20Desk&cu=INR&tn=urgent,aardqv9k6l7j4v9@oksbi,1,3.507,0.333,15,0,0.0,1,1
upi://pay?pa=amit.kumar@axl&pn=Priya%20Singh&cu=INR,amit.kumar@axl,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=merchant.8347@upi&pn=Sharma%20Kirana%20Store&cu=INR&am=3005.85,merchant.8347@upi,1,3.7,0.308,13,1,3005.85,0,0
upi://pay?pa=8292907935@ibl&pn=Refund%20Team&cu=INR&tn=verify-now,8292907935@ibl,1,2.646,1.0,10,0,0.0,1,1
upi://pay?pa=support85@xn--upi&pn=Refund%20Team&cu=INR&tn=blocked,support85@xn--upi,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=7488672155@jio&pn=Cashback%20Desk&cu=INR&tn=urgent,7488672155@jio,1,2.722,1.0,10,0,0.0,1,1
upi://pay?pa=7337688858@axl&pn=Rahul%20Sharma&cu=INR,7337688858@axl,1,2.122,1.0,10,0,0.0,0,0
upi://pay?pa=sunita.devi@ybl&pn=Rahul%20Sharma&cu=INR,sunita.devi@ybl,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=kyc-team98@xn--upi&pn=Prize%20Center&cu=INR&tn=reward,kyc-team98@xn--upi,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=rahul.sharma@okicici&pn=Sharma%20Kirana%20Store&cu=INR,rahul.sharma@okicici,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=7349891418@kotak&pn=Sharma%20Kirana%20Store&cu=INR&am=214.93,7349891418@kotak,1,2.522,1.0,10,1,214.93,0,0
upi://pay?pa=paytrn505@ybl&pn=Prize%20Center&cu=INR&tn=winner,paytrn505@ybl,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=cashback91@kyc-update&pn=Cashback%20Desk&cu=INR&tn=winner,cashback91@kyc-update,0,2.922,0.2,10,0,0.0,1,1
upi://pay?pa=388531651@upi&pn=Refund%20Team&cu=INR,388531651@upi,1,2.281,1.0,9,0,0.0,0,1
upi://pay?pa=cashback35@refund-upi&pn=KYC%20Support&cu=INR,cashback35@refund-upi,0,2.922,0.2,10,0,0.0,0,1
upi://pay?pa=8558627008@apl&pn=Cashback%20Desk&cu=INR&am=3.85&tn=verify-now,8558627008@apl,1,2.446,1.0,10,1,3.85,1,1
upi://pay?pa=6454751828@paytm&pn=Cashback%20Desk&cu=INR&tn=reward,6454751828@paytm,1,2.722,1.0,10,0,0.0,1,1
upi://pay?pa=priya123@ibl&pn=City%20Cafe&cu=INR,priya123@ibl,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=dsmiqacaaff0g@axl&pn=Verify%20Account&cu=INR&am=4.32&tn=kyc,dsmiqacaaff0g@axl,1,3.181,0.077,13,1,4.32,1,1
upi://pay?pa=amit.kumar@okaxis&pn=Auto%20Rickshaw%20Stand&cu=INR,amit.kumar@okaxis,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=support39@xn--upi&pn=Verify%20Account&cu=INR&tn=cashback,support39@xn--upi,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=merchant.2046@ybl&pn=Om%20Traders&cu=INR,merchant.2046@ybl,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=merchant.4040@apl&pn=Green%20Grocers&cu=INR,merchant.4040@apl,1,3.393,0.308,13,0,0.0,0,0
upi://pay?pa=6344646146@jio&pn=Auto%20Rickshaw%20Stand&cu=INR,6344646146@jio,1,1.722,1.0,10,0,0.0,0,0
upi://pay?pa=refund63@kyc-update&pn=Cashback%20Desk&cu=INR&am=3.78&tn=cashback,refund63@kyc-update,0,3.0,0.25,8,1,3.78,1,1
upi://pay?pa=vendor.shop@hdfcbank&pn=Green%20Grocers&cu=INR&am=2037.57,vendor.shop@hdfcbank,1,3.278,0.0,11,1,2037.57,0,0
upi://pay?pa=fogevokqy9fl@upi&pn=Prize%20Center&cu=INR&tn=blocked,fogevokqy9fl@upi,1,3.252,0.083,12,0,0.0,1,1
upi://pay?pa=xdyq8d7wgxxas@okicici&pn=Prize%20Center&cu=INR&tn=cashback,xdyq8d7wgxxas@okicici,1,3.181,0.154,13,0,0.0,1,1
upi://pay?pa=merchant.8290@okhdfcbank&pn=Green%20Grocers&cu=INR&am=4752.48,merchant.8290@okhdfcbank,1,3.7,0.308,13,1,4752.48,0,0
upi://pay?pa=refund14@refund-upi&pn=Cashback%20Desk&cu=INR&tn=winner,refund14@refund-upi,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=phcnpe222@hdfcbank&pn=Prize%20Center&cu=INR&am=1.2&tn=kyc,phcnpe222@hdfcbank,1,2.419,0.333,9,1,1.2,1,1
upi://pay?pa=goog1e-pay232@hdfcbank&pn=Cashback%20Desk&cu=INR&am=4.97,goog1e-pay232@hdfcbank,1,3.239,0.308,13,1,4.97,0,1
upi://pay?pa=merchant.4875@idfcbank&pn=Rahul%20Sharma&cu=INR&am=1250.2,merchant.4875@idfcbank,1,3.7,0.308,13,1,1250.2,0,0
upi://pay?pa=9216944250@okhdfcbank&pn=Priya%20Singh&cu=INR,9216944250@okhdfcbank,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.6726@hdfcbank&pn=Priya%20Singh&cu=INR,merchant.6726@hdfcbank,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=merchant.2744@upi&pn=Sharma%20Kirana%20Store&cu=INR,merchant.2744@upi,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=goog1e-pay1@ybl&pn=Prize%20Center&cu=INR&tn=urgent,goog1e-pay1@ybl,1,2.914,0.182,11,0,0.0,1,1
upi://pay?pa=131bnmpmxjore@ibl&pn=Verify%20Account&cu=INR&am=1.8&tn=verify-now,131bnmpmxjore@ibl,1,3.393,0.231,13,1,1.8,1,1
upi://pay?pa=6606845456@kotak&pn=Priya%20Singh&cu=INR,6606845456@kotak,1,2.122,1.0,10,0,0.0,0,0
upi://pay?pa=vendor.shop@okaxis&pn=Sharma%20Kirana%20Store&cu=INR,vendor.shop@okaxis,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=7583260877@oksbi&pn=Om%20Traders&cu=INR,7583260877@oksbi,1,2.646,1.0,10,0,0.0,0,0
upi://pay?pa=paytrn255@hdfcbank&pn=Verify%20Account&cu=INR&tn=cashback,paytrn255@hdfcbank,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=8380313898@kotak&pn=Om%20Traders&cu=INR&am=3040.77,8380313898@kotak,1,2.046,1.0,10,1,3040.77,0,0
upi://pay?pa=8303015404@apl&pn=Priya%20Singh&cu=INR,8303015404@apl,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=support45@kyc-update&pn=Verify%20Account&cu=INR&tn=cashback,support45@kyc-update,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=rahul.sharma@oksbi&pn=Rahul%20Sharma&cu=INR,rahul.sharma@oksbi,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=7394378770@apl&pn=Priya%20Singh&cu=INR&am=1871.16,7394378770@apl,1,2.322,1.0,10,1,1871.16,0,0
upi://pay?pa=6477210657@okhdfcbank&pn=Priya%20Singh&cu=INR,6477210657@okhdfcbank,1,2.646,1.0,10,0,0.0,0,0
upi://pay?pa=cashback75@kyc-update&pn=KYC%20Support&cu=INR&tn=lottery,cashback75@kyc-update,0,2.922,0.2,10,0,0.0,1,1
upi://pay?pa=phcnpe137@hdfcbank&pn=Cashback%20Desk&cu=INR&tn=cashback,phcnpe137@hdfcbank,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=phcnpe823@ybl&pn=Verify%20Account&cu=INR&tn=blocked,phcnpe823@ybl,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=cashback73@xn--upi&pn=KYC%20Support&cu=INR&am=1.45&tn=verify-now,cashback73@xn--upi,0,2.922,0.2,10,1,1.45,1,1
upi://pay?pa=9290251231@ibl&pn=KYC%20Support&cu=INR&tn=blocked,9290251231@ibl,1,2.446,1.0,10,0,0.0,1,1
upi://pay?pa=merchant.2266@ibl&pn=Green%20Grocers&cu=INR,merchant.2266@ibl,1,3.393,0.308,13,0,0.0,0,0
upi://pay?pa=6914363767@okicici&pn=KYC%20Support&cu=INR&tn=cashback,6914363767@okicici,1,2.446,1.0,10,0,0.0,1,1
upi://pay?pa=merchant.9745@okicici&pn=Priya%20Singh&cu=INR,merchant.9745@okicici,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=merchant.8576@kotak&pn=Sharma%20Kirana%20Store&cu=INR,merchant.8576@kotak,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=7970319532@ibl&pn=Sharma%20Kirana%20Store&cu=INR,7970319532@ibl,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=cashback24@xn--upi&pn=Verify%20Account&cu=INR&tn=suspend,cashback24@xn--upi,0,2.922,0.2,10,0,0.0,1,1
upi://pay?pa=8639721259@okaxis&pn=KYC%20Support&cu=INR&am=2.46&tn=verify-now,8639721259@okaxis,1,2.922,1.0,10,1,2.46,1,1
upi://pay?pa=vendor.shop@okicici&pn=City%20Cafe&cu=INR&am=4395.75,vendor.shop@okicici,1,3.278,0.0,11,1,4395.75,0,0
upi://pay?pa=goog1e-pay242@oksbi&pn=KYC%20Support&cu=INR&tn=lottery,goog1e-pay242@oksbi,1,3.239,0.308,13,0,0.0,1,1
upi://pay?pa=rahul.sharma@ybl&pn=Rahul%20Sharma&cu=INR&am=4958.54,rahul.sharma@ybl,1,2.855,0.0,12,1,4958.54,0,0
upi://pay?pa=vtfhakrowx4k@ybl&pn=Prize%20Center&cu=INR&tn=reward,vtfhakrowx4k@ybl,1,3.418,0.083,12,0,0.0,1,1
upi://pay?pa=9369432855@upi&pn=Auto%20Rickshaw%20Stand&cu=INR,9369432855@upi,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=rahul.sharma@oksbi&pn=Om%20Traders&cu=INR&am=3214.22,rahul.sharma@oksbi,1,2.855,0.0,12,1,3214.22,0,0
upi://pay?pa=9295809841@jio&pn=Cashback%20Desk&cu=INR&am=1.26&tn=lottery,9295809841@jio,1,2.646,1.0,10,1,1.26,1,1
upi://pay?pa=9843677566@apl&pn=Auto%20Rickshaw%20Stand&cu=INR,9843677566@apl,1,2.646,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.9805@okicici&pn=Om%20Traders&cu=INR,merchant.9805@okicici,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=7557395597@paytm&pn=Prize%20Center&cu=INR&tn=lottery,7557395597@paytm,1,1.846,1.0,10,0,0.0,1,1
upi://pay?pa=sunita.devi@upi&pn=Priya%20Singh&cu=INR,sunita.devi@upi,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=merchant.7757@idfcbank&pn=Green%20Grocers&cu=INR&am=3468.22,merchant.7757@idfcbank,1,3.335,0.308,13,1,3468.22,0,0
upi://pay?pa=priya123@okaxis&pn=Rahul%20Sharma&cu=INR,priya123@okaxis,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=goog1e-pay952@oksbi&pn=Prize%20Center&cu=INR&tn=suspend,goog1e-pay952@oksbi,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=refund41@secure-pay&pn=KYC%20Support&cu=INR&am=4.19&tn=lottery,refund41@secure-pay,0,3.0,0.25,8,1,4.19,1,1
upi://pay?pa=support89@refund-upi&pn=Verify%20Account&cu=INR&tn=urgent,support89@refund-upi,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=kyc-team19@refund-upi&pn=Prize%20Center&cu=INR&tn=reward,kyc-team19@refund-upi,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=6661420341@jio&pn=Priya%20Singh&cu=INR,6661420341@jio,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.7115@ibl&pn=City%20Cafe&cu=INR,merchant.7115@ibl,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=amit.kumar@okaxis&pn=Priya%20Singh&cu=INR&am=649.76,amit.kumar@okaxis,1,2.922,0.0,10,1,649.76,0,0
upi://pay?pa=21unc7wwg08q@upi&pn=Refund%20Team&cu=INR&am=4.64&tn=winner,21unc7wwg08q@upi,1,3.418,0.417,12,1,4.64,1,1
upi://pay?pa=support82@xn--upi&pn=Refund%20Team&cu=INR&tn=kyc,support82@xn--upi,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=vendor.shop@okhdfcbank&pn=Auto%20Rickshaw%20Stand&cu=INR,vendor.shop@okhdfcbank,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=6858440538@apl&pn=Om%20Traders&cu=INR,6858440538@apl,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=phcnpe276@kotak&pn=KYC%20Support&cu=INR&am=4.27,phcnpe276@kotak,1,2.948,0.333,9,1,4.27,0,1
upi://pay?pa=support59@secure-pay&pn=KYC%20Support&cu=INR&tn=urgent,support59@secure-pay,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=8008705521@okicici&pn=Auto%20Rickshaw%20Stand&cu=INR,8008705521@okicici,1,2.446,1.0,10,0,0.0,0,0
upi://pay?pa=amit.kumar@kotak&pn=Om%20Traders&cu=INR,amit.kumar@kotak,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=goog1e-pay927@okhdfcbank&pn=KYC%20Support&cu=INR&tn=reward,goog1e-pay927@okhdfcbank,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=6370027143@hdfcbank&pn=Cashback%20Desk&cu=INR&am=3.04&tn=cashback,6370027143@hdfcbank,1,2.722,1.0,10,1,3.04,1,1
upi://pay?pa=tspp0lk5mvltm@jio&pn=Prize%20Center&cu=INR&tn=winner,tspp0lk5mvltm@jio,1,3.085,0.154,13,0,0.0,1,1
upi://pay?pa=merchant.8079@axl&pn=City%20Cafe&cu=INR&am=1415.11,merchant.8079@axl,1,3.7,0.308,13,1,1415.11,0,0
upi://pay?pa=merchant.4862@oksbi&pn=Om%20Traders&cu=INR,merchant.4862@oksbi,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=8588146325@paytm&pn=Rahul%20Sharma&cu=INR,8588146325@paytm,1,2.646,1.0,10,0,0.0,0,0
upi://pay?pa=97ibfaqnc4429w1y@idfcbank&pn=Verify%20Account&cu=INR&am=1.97&tn=kyc,97ibfaqnc4429w1y@idfcbank,1,3.75,0.438,16,1,1.97,1,1
upi://pay?pa=m242yhfe5wmd9lae@oksbi&pn=Verify%20Account&cu=INR&tn=urgent,m242yhfe5wmd9lae@oksbi,1,3.625,0.312,16,0,0.0,1,1
upi://pay?pa=9714688406@okhdfcbank&pn=City%20Cafe&cu=INR&am=3839.04,9714688406@okhdfcbank,1,2.722,1.0,10,1,3839.04,0,0
upi://pay?pa=9286048106@oksbi&pn=Auto%20Rickshaw%20Stand&cu=INR&am=1561.27,9286048106@oksbi,1,2.722,1.0,10,1,1561.27,0,0
upi://pay?pa=merchant.961@oksbi&pn=City%20Cafe&cu=INR&am=803.9,merchant.961@oksbi,1,3.585,0.25,12,1,803.9,0,0
upi://pay?pa=kyc-team32@secure-pay&pn=KYC%20Support&cu=INR&tn=kyc,kyc-team32@secure-pay,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=8621523224@jio&pn=Refund%20Team&cu=INR&am=4.18,8621523224@jio,1,2.522,1.0,10,1,4.18,0,1
upi://pay?pa=merchant.9919@axl&pn=Green%20Grocers&cu=INR&am=3195.36,merchant.9919@axl,1,3.335,0.308,13,1,3195.36,0,0
upi://pay?pa=paytrn862@idfcbank&pn=Verify%20Account&cu=INR&tn=refund,paytrn862@idfcbank,1,3.17,0.333,9,0,0.0,1,1
upi://pay?pa=og996jluly@ibl&pn=KYC%20Support&cu=INR&am=4.67,og996jluly@ibl,1,2.922,0.3,10,1,4.67,0,1
upi://pay?pa=paytrn457@apl&pn=KYC%20Support&cu=INR&am=3.5&tn=blocked,paytrn457@apl,1,3.17,0.333,9,1,3.5,1,1
upi://pay?pa=phcnpe665@oksbi&pn=Prize%20Center&cu=INR&tn=suspend,phcnpe665@oksbi,1,2.725,0.333,9,0,0.0,1,1
upi://pay?pa=y91qub7tuln@paytm&pn=Verify%20Account&cu=INR&tn=suspend,y91qub7tuln@paytm,1,3.278,0.273,11,0,0.0,1,1
upi://pay?pa=sunita.devi@ibl&pn=Om%20Traders&cu=INR,sunita.devi@ibl,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=08t6rwarqcf@ybl&pn=Cashback%20Desk&cu=INR&tn=lottery,08t6rwarqcf@ybl,1,3.278,0.273,11,0,0.0,1,1
upi://pay?pa=4213942560@okaxis&pn=Cashback%20Desk&cu=INR&tn=lottery,4213942560@okaxis,1,2.922,1.0,10,0,0.0,1,1
upi://pay?pa=7848111880@okhdfcbank&pn=Verify%20Account&cu=INR&am=2.36&tn=refund,7848111880@okhdfcbank,1,2.046,1.0,10,1,2.36,1,1
upi://pay?pa=amit.kumar@upi&pn=Priya%20Singh&cu=INR&am=1506.24,amit.kumar@upi,1,2.922,0.0,10,1,1506.24,0,0
upi://pay?pa=paytrn336@idfcbank&pn=Cashback%20Desk&cu=INR&tn=reward,paytrn336@idfcbank,1,2.948,0.333,9,0,0.0,1,1
upi://pay?pa=paytrn158@ibl&pn=Cashback%20Desk&cu=INR&tn=kyc,paytrn158@ibl,1,3.17,0.333,9,0,0.0,1,1
upi://pay?pa=refund28@xn--upi&pn=Verify%20Account&cu=INR&tn=kyc,refund28@xn--upi,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=merchant.8024@oksbi&pn=Rahul%20Sharma&cu=INR&am=3449.5,merchant.8024@oksbi,1,3.7,0.308,13,1,3449.5,0,0
upi://pay?pa=goog1e-pay828@hdfcbank&pn=Refund%20Team&cu=INR&tn=cashback,goog1e-pay828@hdfcbank,1,3.239,0.308,13,0,0.0,1,1
upi://pay?pa=9587238502@ybl&pn=KYC%20Support&cu=INR&am=3.81&tn=refund,9587238502@ybl,1,2.722,1.0,10,1,3.81,1,1
upi://pay?pa=goog1e-pay928@apl&pn=Cashback%20Desk&cu=INR&tn=verify-now,goog1e-pay928@apl,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=3014038034@okicici&pn=Cashback%20Desk&cu=INR,3014038034@okicici,1,2.171,1.0,10,0,0.0,0,1
upi://pay?pa=vendor.shop@paytm&pn=Om%20Traders&cu=INR&am=2976.0,vendor.shop@paytm,1,3.278,0.0,11,1,2976.0,0,0
upi://pay?pa=merchant.7174@idfcbank&pn=Rahul%20Sharma&cu=INR,merchant.7174@idfcbank,1,3.547,0.308,13,0,0.0,0,0
upi://pay?pa=8889673699@paytm&pn=Priya%20Singh&cu=INR,8889673699@paytm,1,2.171,1.0,10,0,0.0,0,0
upi://pay?pa=priya123@okhdfcbank&pn=Sharma%20Kirana%20Store&cu=INR,priya123@okhdfcbank,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=6786021326@okaxis&pn=Prize%20Center&cu=INR&am=2.68&tn=verify-now,6786021326@okaxis,1,2.646,1.0,10,1,2.68,1,1
upi://pay?pa=priya123@okhdfcbank&pn=Rahul%20Sharma&cu=INR,priya123@okhdfcbank,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=cashback70@xn--upi&pn=Cashback%20Desk&cu=INR&am=1.1,cashback70@xn--upi,0,2.922,0.2,10,1,1.1,0,1
upi://pay?pa=8742548209@hdfcbank&pn=Auto%20Rickshaw%20Stand&cu=INR,8742548209@hdfcbank,1,2.722,1.0,10,0,0.0,0,0
upi://pay?pa=merchant.8245@paytm&pn=Green%20Grocers&cu=INR,merchant.8245@paytm,1,3.7,0.308,13,0,0.0,0,0
upi://pay?pa=refund15@kyc-update&pn=Cashback%20Desk&cu=INR&tn=blocked,refund15@kyc-update,0,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=paytrn47@kotak&pn=KYC%20Support&cu=INR&tn=reward,paytrn47@kotak,1,3.0,0.25,8,0,0.0,1,1
upi://pay?pa=rahul.sharma@ybl&pn=Auto%20Rickshaw%20Stand&cu=INR,rahul.sharma@ybl,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=sunita.devi@ybl&pn=Green%20Grocers&cu=INR,sunita.devi@ybl,1,3.278,0.0,11,0,0.0,0,0
upi://pay?pa=8371294660@oksbi&pn=Cashback%20Desk&cu=INR&tn=refund,8371294660@oksbi,1,3.122,1.0,10,0,0.0,1,1
upi://pay?pa=priya123@ybl&pn=Priya%20Singh&cu=INR,priya123@ybl,1,3.0,0.375,8,0,0.0,0,0
upi://pay?pa=kyc-team18@pay-verify&pn=Verify%20Account&cu=INR&tn=lottery,kyc-team18@pay-verify,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=merchant.4572@upi&pn=Priya%20Singh&cu=INR&am=3951.67,merchant.4572@upi,1,3.7,0.308,13,1,3951.67,0,0
upi://pay?pa=goog1e-pay59@apl&pn=Prize%20Center&cu=INR&am=2.9&tn=cashback,goog1e-pay59@apl,1,3.252,0.25,12,1,2.9,1,1
upi://pay?pa=gfex6dcledo5@kotak&pn=KYC%20Support&cu=INR&tn=lottery,gfex6dcledo5@kotak,1,3.252,0.167,12,0,0.0,1,1
upi://pay?pa=7383082793@jio&pn=Sharma%20Kirana%20Store&cu=INR&am=499.36,7383082793@jio,1,2.446,1.0,10,1,499.36,0,0
upi://pay?pa=merchant.7232@paytm&pn=Om%20Traders&cu=INR&am=630.64,merchant.7232@paytm,1,3.547,0.308,13,1,630.64,0,0
upi://pay?pa=refund64@secure-pay&pn=Cashback%20Desk&cu=INR&am=1.09&tn=cashback,refund64@secure-pay,0,3.0,0.25,8,1,1.09,1,1
upi://pay?pa=rahul.sharma@okaxis&pn=Priya%20Singh&cu=INR,rahul.sharma@okaxis,1,2.855,0.0,12,0,0.0,0,0
upi://pay?pa=goog1e-pay427@idfcbank&pn=Prize%20Center&cu=INR&tn=cashback,goog1e-pay427@idfcbank,1,3.393,0.308,13,0,0.0,1,1
upi://pay?pa=merchant.679@upi&pn=Auto%20Rickshaw%20Stand&cu=INR,merchant.679@upi,1,3.585,0.25,12,0,0.0,0,0
upi://pay?pa=support62@secure-pay&pn=Refund%20Team&cu=INR&tn=blocked,support62@secure-pay,0,2.948,0.222,9,0,0.0,1,1
upi://pay?pa=8266427571@upi&pn=Green%20Grocers&cu=INR&am=3886.53,8266427571@upi,1,2.722,1.0,10,1,3886.53,0,0
upi://pay?pa=kyc-team58@pay-verify&pn=Verify%20Account&cu=INR&tn=suspend,kyc-team58@pay-verify,0,3.322,0.2,10,0,0.0,1,1
upi://pay?pa=1964303336@ibl&pn=Cashback%20Desk&cu=INR,1964303336@ibl,1,2.322,1.0,10,0,0.0,0,1
upi://pay?pa=0wvy2jkqqnj0roc@ibl&pn=Cashback%20Desk&cu=INR&am=2.84&tn=reward,0wvy2jkqqnj0roc@ibl,1,3.507,0.2,15,1,2.84,1,1
upi://pay?pa=amit.kumar@paytm&pn=Auto%20Rickshaw%20Stand&cu=INR,amit.kumar@paytm,1,2.922,0.0,10,0,0.0,0,0
upi://pay?pa=6dab4qi59s90hx@oksbi&pn=Verify%20Account&cu=INR&am=3.16&tn=kyc,6dab4qi59s90hx@oksbi,1,3.664,0.429,14,1,3.16,1,1
upi://pay?pa=merchant.9485@okaxis&pn=Om%20Traders&cu=INR&am=4256.77,merchant.9485@okaxis,1,3.7,0.308,13,1,4256.77,0,0
upi://pay?pa=6562890016@ybl&pn=Priya%20Singh&cu=INR,6562890016@ybl,1,2.646,1.0,10,0,0.0,0,0
upi://pay?pa=priya123@upi&pn=Green%20Grocers&cu=INR&am=3489.67,priya123@upi,1,3.0,0.375,8,1,3489.67,0,0
